2x3-2x4 epinette 6 @ 10,2x3-2x4 epinette 12-14-16,2x6 epinette,2x8 et 2x10 epinette,2x3-2x4 sapin 6@10,2x3-2x4 sapin 12-14-16,2x6 sapin,1x4 sapin,1x4 - 1x6 sapin,1x3 epinette 8@16,1x3-1x4 epinette 12@16,1x4 - 1x6 sapin,1x3 sapin
0204103MVBL-10'_240,0203103MVBL-16'_320,0206103MVBL-16'_160,0210103MVBL-16'_100,0204203MVBL-10'_240,0204203MVBL-16'_240,0206203MVBL-16'_160,0104203MVBL-16'_348,0106203MVBL-16'_232,0103103MVBL-16'_464,0104103MVBL-16'_348,0104103MVBL-16'_348,0103203MVBL-16'_464
0203103MVBL-10'_320,0204103MVBL-16'_240,0206103MVBL-14'_160,0208103MVBL-16'_120,0203203MVBL-10'_320,0203203MVBL-16'_320,0206203MVBL-14'_160,0104203MVBL-14'_348,0104203MVBL-16'_348,0103103MVBL-14'_464,0104103MVBL-14'_348,0106103MVBL-16'_232,0103203MVBL-14'_464
0204103MVBL-9'_240,0204103MVBL-14'_240,0206103MVBL-12'_160,0208103MVBL-14'_120,0203203MVBL-9'_320,0203203MVBL-14'_320,0206203MVBL-12'_160,0104203MVBL-12'_348,0106203MVBL-14'_232,0103103MVBL-12'_464,0104103MVBL-12'_348,0104103MVBL-14'_348,0103203MVBL-12'_464
0203103MVBL-9'_320,0203103MVBL-14'_320,0206103MVBL-10'_160,0210103MVBL-14'_100,0204203MVBL-9'_240,0204203MVBL-14'_240,0206203MVBL-10'_160,0104203MVBL-10'_348,0104203MVBL-14'_348,0103103MVBL-10'_464,0104103MVBL-10'_348,0106103MVBL-14'_232,0103203MVBL-10'_464
0203103MVBL-8'_320,0204103MVBL-12'_240,0206103MVBL-9'_160,0210103MVBL-12'_100,0204203MVBL-8'_240,0203203MVBL-12'_320,0206203MVBL-9'_160,0104203MVBL-8'_348,0106203MVBL-12'_232,0103103MVBL-8'_464,0104103MVBL-8'_348,0104103MVBL-12'_348,0103203MVBL-8'_464
0204103MVBL-8'_240,0204103MVBL-10'_240,0206103MVBL-8'_160,0208103MVBL-12'_120,0203203MVBL-8'_320,0204203MVBL-12'_240,0206203MVBL-8'_160,,0104203MVBL-12'_348,,,0106103MVBL-12'_232,
0204103MVBL-7'_240,0204103MVBL-16'_240,0206103MVBL-7'_160,0210103MVBL-10'_100,0204203MVBL-7'_240,0204203MVBL-10'_240,0206203MVBL-16'_160,,0104203MVBL-10'_348,,,0104103MVBL-10'_348,
0203103MVBL-7'_320,0204103MVBL-14'_240,0206103MVBL-16'_160,0208103MVBL-10'_120,0204203MVBL-6'_240,0203203MVBL-10'_320,0206203MVBL-14'_160,,0106203MVBL-10'_232,,,0106103MVBL-10'_232,
0204103MVBL-6'_240,0204103MVBL-12'_240,0206103MVBL-14'_160,0208103MVBL-8'_120,0204203MVBL-10'_240,0203203MVBL-9'_320,0206203MVBL-12'_160,,0104203MVBL-8'_348,,,0106103MVBL-8'_232,
,0204103MVBL-10'_240,0206103MVBL-12'_160,0210103MVBL-8'_100,0203203MVBL-10'_320,0203203MVBL-8'_320,0206203MVBL-10'_160,,0106203MVBL-8'_232,,,0104103MVBL-8'_348,
,,0206103MVBL-10'_160,,0203203MVBL-9'_320,0204203MVBL-8'_240,0206203MVBL-9'_160,,,,,,
,,0206103MVBL-9'_160,,0204203MVBL-9'_240,0203203MVBL-16'_320,0206203MVBL-8'_160,,,,,,
,,0206103MVBL-8'_160,,0204203MVBL-8'_240,0204203MVBL-16'_240,0206203MVBL-7'_160,,,,,,
,,0206103MVBL-16'_160,,0203203MVBL-8'_320,0204203MVBL-14'_240,,,,,,,
,,0206103MVBL-14'_160,,0204203MVBL-7'_240,0203203MVBL-14'_320,,,,,,,
,,0206103MVBL-12'_160,,0204203MVBL-6'_240,0204203MVBL-12'_240,,,,,,,
,,0206103MVBL-10'_160,,,0203203MVBL-12'_320,,,,,,,
,,0206103MVBL-9'_160,,,,,,,,,,
,,0206103MVBL-8'_160,,,,,,,,,,
,,0206103MVBL-7'_160,,,,,,,,,,
